Smiles	Name
N#CCC#N	109-77-3Hansen_nonmutagen
C=C(C)C#N	126-98-7Hansen_nonmutagen
c1cc[nH]c1	109-97-7Hansen_nonmutagen
c1ccoc1	110-00-9Hansen_nonmutagen
c1c[nH]cn1	288-32-4Hansen_nonmutagen
C=CC=CC	1574-41-0Hansen_nonmutagen
C=CC(=C)C	78-79-5Hansen_nonmutagen
N#CCCN	151-18-8Hansen_nonmutagen
CN(C)C#N	1467-79-4Hansen_nonmutagen
C1CCCC1	287-92-3Hansen_nonmutagen
CC=CCC	25377-72-4Hansen_nonmutagen
CC(O)C#N	78-97-7Hansen_nonmutagen
C=CC(=O)N	79-06-1Hansen_nonmutagen
N#CCCO	109-78-4Hansen_nonmutagen
C1CCNC1	123-75-1Hansen_nonmutagen
C=CC(=O)O	79-10-7Hansen_nonmutagen
CC(C)C=O	78-84-2Hansen_nonmutagen
C1CCOC1	109-99-9Hansen_nonmutagen
CCC(=O)C	78-93-3Hansen_nonmutagen
CCCC=O	123-72-8Hansen_nonmutagen
CCCCC	109-66-0Hansen_nonmutagen
CCC(C)C	78-78-4Hansen_nonmutagen
CN(C)C=O	68-12-2Hansen_nonmutagen
CCC(C)N	NOCAS_M559Hansen_nonmutagen
CC(C)(C)N	75-64-9Hansen_nonmutagen
CCCCN	109-73-9Hansen_nonmutagen
CCNCC	109-89-7Hansen_nonmutagen
CC(C)CN	78-81-9Hansen_nonmutagen
C[CH-][N+](=O)[O-]	25590-58-3Hansen_nonmutagen
CCC(=O)O	79-09-4Hansen_nonmutagen
C1COCO1	646-06-0Hansen_nonmutagen
COC(=O)C	79-20-9Hansen_nonmutagen
CN(N)C=O	758-17-8Hansen_nonmutagen
CC(C)(C)O	75-65-0Hansen_nonmutagen
CCCCO	71-36-3Hansen_nonmutagen
CCOCC	60-29-7Hansen_nonmutagen
NCCCN	109-76-2Hansen_nonmutagen
CC(N)CN	NOCAS_M457Hansen_nonmutagen
COC(=O)N	598-55-0Hansen_nonmutagen
NCC(=O)O	56-40-6Hansen_nonmutagen
NNC(=O)N	563-41-7Hansen_nonmutagen
CNCCO	109-83-1Hansen_nonmutagen
CC(=O)OO	79-21-0Hansen_nonmutagen
O=C(O)CO	79-14-1Hansen_nonmutagen
CC(O)CO	NOCAS_M326Hansen_nonmutagen
COCCO	109-86-4Hansen_nonmutagen
COCOC	109-87-5Hansen_nonmutagen
c1ccsc1	110-02-1Hansen_nonmutagen
CCN=C=S	542-85-8Hansen_nonmutagen
C=C(Cl)C#N	920-37-6Hansen_nonmutagen
C=CC(=C)Cl	126-99-8Hansen_nonmutagen
O=C(O)CS	68-11-1Hansen_nonmutagen
CC(=O)CCl	78-95-5Hansen_nonmutagen
CCCCCl	109-69-3Hansen_nonmutagen
CS(=O)(=O)C	67-71-0Hansen_nonmutagen
O=C(O)CCl	79-11-8Hansen_nonmutagen
CS(=O)(=O)O	75-75-2Hansen_nonmutagen
[O-][Cl+3]([O-])([O-])[O-]	7790-98-9Hansen_nonmutagen
CC(C)(Cl)Cl	594-20-7Hansen_nonmutagen
ClC=C(Cl)Cl	79-01-6Hansen_nonmutagen
ClCC(Cl)Cl	79-00-5Hansen_nonmutagen
FC(Cl)(Cl)Cl	75-69-4Hansen_nonmutagen
NC(=O)CBr	79-15-2Hansen_nonmutagen
ClC(Cl)(Cl)Cl	56-23-5Hansen_nonmutagen
FC(F)(Cl)Br	353-59-3Hansen_nonmutagen
NC(=O)CI	144-48-9Hansen_nonmutagen
BrCCCBr	109-64-8Hansen_nonmutagen
C=CC(C)C#N	16529-56-9Hansen_nonmutagen
C=C(C)C1CO1	7437-61-8Hansen_nonmutagen
C=CC1(C)CO1	1838-94-4Hansen_nonmutagen
CCC1(C)CO1	30095-63-7Hansen_nonmutagen
CC1CCCO1	96-47-9Hansen_nonmutagen
CCC(C)C=O	96-17-3Hansen_nonmutagen
CCN=[N+](C)[O-]	96337-40-5Hansen_nonmutagen
CC[N+](=NC)[O-]	97869-39-1Hansen_nonmutagen
CC(N)CCN	590-88-5Hansen_nonmutagen
CC(N)C(=O)O	102029-81-2Hansen_nonmutagen
CC(O)C(C)O	513-85-9Hansen_nonmutagen
N=C(N)S(=O)O	1758-73-2Hansen_nonmutagen
CC(Cl)C(=O)O	598-78-7Hansen_nonmutagen
CCCCC1CO1	1436-34-6Hansen_nonmutagen
[N-]=[N+]=NCC(=O)O	18523-48-3Hansen_nonmutagen
OCC1CCCO1	97-99-4Hansen_nonmutagen
CCN=[N+]([O-])CC	16301-26-1Hansen_nonmutagen
