Clc(cc1)cc(CCc2c3nccc2)c1C3=C1CCNCC1	binder2580-ACTIVE
[O-][N+](c(cc1)ccc1Oc(cc1)ccc1[N+]([O-])=O)=O	binder2581-ACTIVE
CCC(C)Nc(cc1)ccc1NC(C)CC	binder2582-ACTIVE
O=C(c(c(F)ccc1)c1F)NC(Nc(ccc(Oc(ccc(C(F)(F)F)c1)c1Cl)c1)c1F)=O	binder2583-ACTIVE
CC(C)(C)c1ccc(CN(C)Cc2cccc3ccccc23)cc1	binder2584-ACTIVE
CC(C)(CCC1(C)C)c(cc2)c1cc2C(Nc(cc1)ccc1C(O)=O)=O	binder2585-ACTIVE
CCN(CC)CC1N(CC(N(c2c3cccc2)c(nccc2)c2NC3=O)=O)CCCC1	binder2586-ACTIVE
CNCCCC(CCC12)(c3c2cccc3)c2c1cccc2	binder2587-ACTIVE
O=C(C=Cc1ccccc1)OCCc1ccccc1	binder2588-ACTIVE
CCOC(c(nc1C(Cl)(Cl)Cl)nn1-c(ccc(Cl)c1)c1Cl)=O	binder2589-ACTIVE
O=C(CCCN(CC1)CCN1c(cc1)ccc1F)NC1c(cccc2)c2SCc2c1cccc2	binder2590-ACTIVE
CCCCCCCCCCCCc(cc1)ccc1O	binder2592-ACTIVE
CC/C(/c1ccccc1)=C(/c1ccccc1)\c(cc1)ccc1OCCN(C)C	binder2594-ACTIVE
CC(C(OCC#C)=O)Oc(cc1)ccc1Oc(c(F)c1)ncc1Cl	binder2595-ACTIVE
CC(C)OC(c1cc([N+]([O-])=O)cc(C(OC(C)C)=O)c1)=O	binder2596-ACTIVE
CC(N=C1N2CCCC1)=C(CCN(CC1)CCC1c1noc3c1ccc(F)c3)C2=O	binder2597-ACTIVE
O=C1N(CCN(CC2)CCC2c(c2c3ccc(Cl)c2)cn3-c(cc2)ccc2F)CCN1	binder2598-ACTIVE
O=C(CCCCCCCCc1cnccc1)N(CC1)CCC1C=C(c1ccccc1)c1ccccc1	binder2599-ACTIVE
CC(C)(C)C(CCc(cc1)ccc1Cl)(Cn1ncnc1)O	binder2600-ACTIVE
CN(C)S(N(c1ccccc1)SC(F)(Cl)Cl)(=O)=O	binder2601-ACTIVE
CC1(CN(CC2)CCC2N(c(cccc2)c2N2)C2=O)OCc(cccc2)c2-n2c1ccc2	binder2603-ACTIVE
COc(ccc(C(c(cc1)ccc1Cl)=CC(N1CCOCC1)=O)c1)c1OC	binder2605-ACTIVE
CN(CCc1c2)C(CCc3c4cccc3)C4c1cc(O)c2Cl	binder2606-ACTIVE
Oc(cc1)cc2c1[nH]cc2CCCCN(CC1)CC=C1c1ccccc1	binder2607-ACTIVE
CCCCC(CC)CN(C(C1C2C3C=CC1C3)=O)C2=O	binder2608-ACTIVE
CN(C)CC/C=C1/c(cc(cc2)Cl)c2Sc2c1cccc2	binder2609-ACTIVE
ClC(c(nc(c(Cl)c1Cl)Cl)c1Cl)(Cl)Cl	binder2610-ACTIVE
N#CC(CCc(cc1)ccc1Cl)(Cn1ncnc1)c1ccccc1	binder2611-ACTIVE
O=S(OCC1C(C2(Cl)Cl)(C(Cl)=C3Cl)Cl)OCC1C23Cl	binder2612-ACTIVE
CN(CCc(cc1)ccc1NS(C)(=O)=O)CCOc(cc1)ccc1NS(C)(=O)=O	binder2613-ACTIVE
CC(C)(CC1(C)C)c2c1c([N+]([O-])=O)c(C)c([N+]([O-])=O)c2	binder2614-ACTIVE
O=C(c(cccc1)c1C1=O)C(Cl)=C1Cl	binder2616-ACTIVE
CC(C)Cc1ccc(CCc2cc(C(c(cccc3)c3Cl)=NC(C)c3nnc(C)n3-3)c3s2)cc1	binder2617-ACTIVE
COC(CSc(cc(c(F)c1)N=C(N2N3CCCC2)SC3=O)c1Cl)=O	binder2618-ACTIVE
CN(CC1)C(C(c(c2c3OC)ccc3OC)OC2=O)c2c1cc1OCOc1c2	binder2619-ACTIVE
CN(C)CCOC(c1ccccc1)c(cc1)ccc1Br	binder2620-ACTIVE
CCCN(CC)CC1OC(CC2)(CCC2C(C)(C)C)OC1	binder2621-ACTIVE
CC(C)(C)c1cc(C)cc(Cc2cc(C)cc(C(C)(C)C)c2O)c1O	binder2622-ACTIVE
[O-][N+](c(cccc1)c1Nc1ccccc1)=O	binder2623-ACTIVE
CCc1nn(C)c(C(NCc2ccc(C(C)(C)C)cc2)=O)c1Cl	binder2624-ACTIVE
CCCCC(CN1CC2CCOCC2)C(CC2)(CCN2C(C)(CC2)CCN2C(c2c(C)ncnc2C)=O)OC1=O	binder2625-ACTIVE
CCC(Cc1ccccc1)(C(c(cc1)ccc1N1CCOCC1)=O)N(C)C	binder2626-ACTIVE
CN(C)C(CCOc1cccc2ccccc12)c1ccccc1	binder2627-ACTIVE
OC(CN1CCC(Cc(cc2)ccc2F)CC1)c(cc1)ccc1Cl	binder2628-ACTIVE
CC1OC(Cn2ncnc2)(c(ccc(Oc(cc2)ccc2Cl)c2)c2Cl)OC1	binder2629-ACTIVE
CCCCCCCCS(C(C)Cc(cc1)cc2c1OCO2)=O	binder2630-ACTIVE
O=CC=C(c1ccccc1)c1ccccc1	binder2631-ACTIVE
CCN(CC)CCNC(COc(cc1)ccc1Cl)=O	binder2633-ACTIVE
CCOCn(c(C(F)(F)F)c1Br)c(-c(cc2)ccc2Cl)c1C#N	binder2634-ACTIVE
N#Cc1c(-c(cc2)ccc2Cl)[nH]c(C(F)(F)F)c1Br	binder2635-ACTIVE
CN(C(CC1)C2)C1CC2NC(N(c(cccc1)c1N1)C1=O)=O	binder2636-ACTIVE
Fc(cc1)ccc1Oc1c2c(Cl)cc(Cl)cc2ncc1	binder2637-ACTIVE
CC(C)N(CCC(c1ccccc1)c(cc(C)cc1)c1O)C(C)C	binder2638-ACTIVE
CC(CC(c1ccccc1)(c1ccccc1)C#N)N(C)C	binder2639-ACTIVE
CC(C)(CCC1Cc(cc2)ccc2Cl)C1(Cn1ncnc1)O	binder2640-ACTIVE
C(CN(CCC1)CC1OC(c1ccccc1)c1ccccc1)c(cc1)cc2c1OCO2	binder2643-ACTIVE
O=S(c1ccc2)(N(CCCN(CC3)CCN3c(cc3)ccc3F)c3c1c2ccc3)=O	binder2644-ACTIVE
CCOC(C(Cc(cc(c(F)c1)N2N=C(C)N(C(F)F)C2=O)c1Cl)Cl)=O	binder2645-ACTIVE
CN(CC1)CCC1=C1c(cccc2)c2C=Cc2c1cccc2	binder2646-ACTIVE
CCOC(COc(cc(-c1nn(C)c(OC(F)F)c1Cl)c(F)c1)c1Cl)=O	binder2647-ACTIVE
O=C(CC1)Nc2c1ccc(OCCCCN(CC1)CCN1c1cccc(Cl)c1Cl)c2	binder2648-ACTIVE
CCCCCOc(cccc1)c1/C(/n1cncc1)=C\SC	binder2651-ACTIVE
CC(C(N1Nc2ccccc2)=O)(c(cc2)ccc2Oc2ccccc2)OC1=O	binder2652-ACTIVE
CCN(CC1)CCN1c1cc(-c(cc2)ccc2F)c(CCCCCC2)c2n1	binder2654-ACTIVE
O=C(c(cccc1)c1C1=O)N1SC(Cl)(Cl)Cl	binder2655-ACTIVE
CCN(CCC#N)c(cc1)ccc1N=Nc(c(Cl)cc([N+]([O-])=O)c1)c1Cl	binder2657-ACTIVE
CC(c(cc1)cc(OC)c1OCCCN(CC1)CCC1c1noc2c1ccc(F)c2)=O	binder2659-ACTIVE
CC(C)C(CCC(C)C1)C1OC(c(cccc1)c1N)=O	binder2660-ACTIVE
CCOC(c(c(C)nc1c2)cn1nc2OP(OCC)(OCC)=S)=O	binder2661-ACTIVE
CCOC(C(C)(C1)N(c(ccc(Cl)c2)c2Cl)N=C1C(OCC)=O)=O	binder2663-ACTIVE
O=C(C=CC1=O)N1c1ccc(Cc(cc2)ccc2N(C(C=C2)=O)C2=O)cc1	binder2664-ACTIVE
CC(C)Nc1cccnc1N(CC1)CCN1C(c1cc(cc(cc2)NS(C)(=O)=O)c2[nH]1)=O	binder2665-ACTIVE
CN(C)C(SSC(N(C)C)=S)=S	binder2666-ACTIVE
CC1N(CCCOC(c(cc2)ccc2OC2CCCCC2)=O)CCCC1	binder2667-ACTIVE
COc1cccc(C(C2CCN(CCc(cc3)ccc3F)CC2)O)c1OC	binder2668-ACTIVE
N#Cc1ccc(CC(c2cc(C(F)(F)F)ccc2)=NNC(Nc(cc2)ccc2OC(F)(F)F)=O)cc1	binder2669-ACTIVE
Clc(cc1)cc2c1Oc(cccc1)c1N=C2N1CCNCC1	binder2671-ACTIVE
CCCCC(CC)CN(C1)CN(CC(CC)CCCC)CC1(C)N	binder2672-ACTIVE
CCCCc1c(C(c(cc2)ccc2OCCCN(CCCC)CCCC)=O)c(cc(cc2)NS(C)(=O)=O)c2o1	binder2674-ACTIVE
CCOC(C1(CCN(CCc(cc2)ccc2N)CC1)c1ccccc1)=O	binder2676-ACTIVE
CCCCC/C=C/C/C=C/CCCCCCCC(NC(C)c1ccccc1)=O	binder2677-ACTIVE
CCCCCNC(N/N=C/c1c[nH]c(cc2)c1cc2OC)=N	binder2678-ACTIVE
CC(C)(C)NCC(COc(cc(C)cc1)c1Cl)O	binder2679-ACTIVE
COc(cc1)c(CNC2C(c3ccccc3)NCCC2)cc1OC(F)(F)F	binder2680-ACTIVE
CC(C(c1ccccc1)O)N(C)CCOC(c1ccccc1)c1ccccc1	binder2681-ACTIVE
COC(C(C(C1)C(CC2)CN(CC3)C1c1c3c(cccc3)c3[nH]1)C2O)=O	binder2682-ACTIVE
N#Cc1ccc(CC(c2cccc(C(F)(F)F)c2)=O)cc1	binder2684-ACTIVE
O=C1Nc2cc(Cl)c(CCN(CC3)CCN3c3nsc4c3cccc4)cc2C1	binder2685-ACTIVE
CC(C(C(C1C)N2C(C(O)=O)=C1SC1CNC(CNS(N)(=O)=O)C1)C2=O)O	binder2687-ACTIVE
CCCCN(CCCC)CCCOC(c(cc1)ccc1N)=O	binder2689-ACTIVE
O=C(c1cc(cccc2)c2[nH]1)NC(C(N1c2c3cccc2CC1)=O)N=C3c(cccc1)c1F	binder2690-ACTIVE
CC(C)C(OCc1cccc(OC(C(C(C)(C)SC2C3NC(Cc4ccccc4)=O)N2C3=O)=O)c1)=O	binder2691-ACTIVE
CCOc1c(C2N=C(c(c(F)ccc3)c3F)OC2)ccc(C(C)(C)C)c1	binder2692-ACTIVE
O=C(Cc1c2cccc1)N2c(c(Cl)ccc1)c1Cl	binder2693-ACTIVE
CCCc(cc1)cc(OC)c1OCC(N(CC1)CCN1C(COc(ccc(CCC)c1)c1OC)=O)=O	binder2694-ACTIVE
[O-][N+](c(cc1)ccc1Oc(ccc(C(F)(F)F)c1)c1[N+]([O-])=O)=O	binder2695-ACTIVE
CC(C)C(C(NC(CC(C(Cc1ccccc1)NC(OCc1cncs1)=O)O)Cc1ccccc1)=O)NC(N(C)Cc1csc(C(C)C)n1)=O	binder2696-ACTIVE
CN(CC1)CCC1=C(c1c(CC2)scc1)c1c2cccc1	binder2697-ACTIVE
CCC(C)(C(CCl)=O)NC(c1cc(Cl)c(C)c(Cl)c1)=O	binder2698-ACTIVE
CCN(CC)C(c1ccc(C(c2cc(OC)ccc2)N2C(C)CN(CC=C)C(C)C2)cc1)=O	binder2699-ACTIVE
CCN1C(CNC(c(cc(cc2)S(N)(=O)=O)c2OC)=O)CCC1	binder2700-ACTIVE
CC(C)(C)C(C=Cc(cc1)ccc1Cl)=O	binder2701-ACTIVE
[O-][N+](c(ccc(O)c1C(c2c3c(Nc4ccc(CCO)cc4)ccc2O)=O)c1C3=O)=O	binder2702-ACTIVE
CCC(CCC1)(CC2(C(OC)=O)O)C3N1CCc1c3n2c2c1cccc2	binder2703-ACTIVE
CC(c(cc1)ccc1-c(cc1)ccc1C(NCCCCN(CC1)CCN1c(cccc1)c1OC)=O)=O	binder2704-ACTIVE
CCOC(C(C1)=NOC1(c1ccccc1)c1ccccc1)=O	binder2705-ACTIVE
O=C(CCCN(CC1)CCN1c1ncccc1)c(cc1)ccc1F	binder2706-ACTIVE
Cc1c(-c(cc2)ccc2Cl)n(-c(ccc(Cl)c2)c2Cl)nc1C(NN1CCCCC1)=O	binder2707-ACTIVE
CCCCCCCC(Oc(c(Br)cc(C#N)c1)c1Br)=O	binder2708-ACTIVE
Cc(cc1)ccc1-c1cc(C(F)(F)F)nn1-c(cc1)ccc1S(N)(=O)=O	binder2710-ACTIVE
Cn1c(cccc2)c2c(C(C(N2)=O)=C(c3cn(C4CCN(Cc5ncccc5)CC4)c4c3cccc4)C2=O)c1	binder2711-ACTIVE
CC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)OC1OCCN(CC(NN2)=NC2=O)C1c(cc1)ccc1F	binder2712-ACTIVE
CCC(C(C)O)N(C1=O)N=CN1c(cc1)ccc1N(CC1)CCN1c(cc1)ccc1OCC(C1)COC1(Cn1ncnc1)c(ccc(F)c1)c1F	binder2713-ACTIVE
CC(Cc1ccccc1)NCCCCl	binder2714-ACTIVE
CCN(CC)CCN(c(ccc(Cl)c1)c1C(c(cccc1)c1F)=NC1)C1=O	binder2715-ACTIVE
CCCCCC(Nc(cc1C(F)(F)F)c2cc1S(N)(=O)=O)NS2(=O)=O	binder2716-ACTIVE
C(Cc1ccc(COc2ccccc2)cc1)CN1CCOCC1	binder2717-ACTIVE
Cn1c2cccc(C3C(C4)N(C)CC(CNC(OCc5ccccc5)=O)C3)c2c4c1	binder2718-ACTIVE
NC(N(C(C1)C=CC1Oc1cccc(Oc(cc2)ccc2F)c1)O)=O	binder2719-ACTIVE
[O-][N+](c(cc1)ccc1Oc(ccc(Cl)c1)c1Cl)=O	binder2721-ACTIVE
CCOC(COc(cc(c(F)c1)N2N=CC(C(F)(F)F)=C(C)C2=O)c1Cl)=O	binder2722-ACTIVE
CC(C)C(C(NC(CC(C(Cc1ccccc1)NC(COc1c(C)cccc1C)=O)O)Cc1ccccc1)=O)N(CCCN1)C1=O	binder2723-ACTIVE
CCCCc1c(C(c(cc2I)cc(I)c2OCCN(CC)CC)=O)c(cccc2)c2o1	binder2724-ACTIVE
CC(C)Oc(cc(c(Cl)c1)N2N=C(C(C)(C)C)OC2=O)c1Cl	binder2725-ACTIVE
