CCCCCCOC(=O)c1cnccc1	90202-inactive-pubchem
c1cc(cnc1)CC(O)(P(=O)(O)[O-])P(=O)(O)[O-]	9862176-inactive-pubchem
CC(C)(CCP(=O)(O)O)C(=O)O	11957608-inactive-pubchem
c1cc(cc(c1)[N+](=O)[O-])C(F)(F)F	7386-inactive-pubchem
C(CS(=O)(=O)[O-])CS(=O)(=O)[O-]	6451143-inactive-pubchem
c1c(cc(c(c1[N+](=O)[O-])Cl)[N+](=O)[O-])C(F)(F)F	9809-inactive-pubchem
CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@@H]1CCOC1)O)S(=O)(=O)c1ccc(cc1)N	10885665-inactive-pubchem
C(C[C@@H](C(=O)O)N)CN=C(N)N[N+](=O)[O-]	440005-inactive-pubchem
CC(C)OC(=O)Nc1cc2c(cc1)nc([nH]2)c1cscn1	33309-inactive-pubchem
C1C(O1)COCCCCOCC1CO1	17046-inactive-pubchem
CS(=N)(=O)CC[C@@H](C(=O)O)N	89034-inactive-pubchem
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	446284-inactive-pubchem
c1cc(c(cc1C=C(C#N)C#N)O)[N+](=O)[O-]	2046-inactive-pubchem
c1cc(ccc1C(CN)CP(=O)(O)O)Cl	1641-inactive-pubchem
CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(ncnc12)N	11957547-inactive-pubchem
Cc1c(cc(cc1)S(=O)(=O)[O-])C	23668192-inactive-pubchem
C(CCC(=O)O)CCN	564-inactive-pubchem
CCOC(=O)/C=C(\C)/C=C/C[C@@H](C)CCCC(C)C	5282198-inactive-pubchem
CC1(C(=[N+](c2c1c1ccccc1cc2)CCCCS(=O)(=O)[O-])/C=C\C=C/C=C\C=C\1/C(c2c(N1CCCCS(=O)(=O)[O-])ccc1ccccc21)(C)C)C	5284572-inactive-pubchem
C[N+](C)(C)CC#CCOC(=O)Nc1cc(ccc1)Cl	5926-inactive-pubchem
C1CN[C@@H](C[C@@H]1CP(=O)(O)O)C(=O)O	68736-inactive-pubchem
c1ccc2c(c1)c(=O)[nH]c(=O)o2	16258-inactive-pubchem
c1ccc(cc1)Nc1c2c(c(cc1)N=Nc1c3c(cc(c1)S(=O)(=O)[O-])cc(cc3O)S(=O)(=O)[O-])cccc2S(=O)(=O)[O-]	19731-inactive-pubchem
C[C@]12CCC3C(C1CC[C@@H]2NCCCCCCN1C(=O)C=CC1=O)CCc1c3ccc(c1)OC	11957723-inactive-pubchem
CCOP(=S)(OCC)Oc1cc2c(cc1)c(c(c(=O)o2)Cl)C	2871-inactive-pubchem
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)N	451417-inactive-pubchem
CCCC(C)(COC(=O)N)COC(=O)NC1CC1	32322-inactive-pubchem
C[S+](C)CCC(C(=O)O)N	14220-inactive-pubchem
CCCCCc1c(cc(cc1)C)O	14759-inactive-pubchem
C=Cc1ccc(cc1)S(=O)(=O)[O-]	3571582-inactive-pubchem
C(C[C@@H](C(=O)O)N)CN=C(N)N	6322-inactive-pubchem
CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/CCCC(=O)[O-])/O2)O)O	6364626-inactive-pubchem
C[C@@H](C(=O)N[C@@H](C)P(=O)(O)O)N	71957-inactive-pubchem
CC(C)(COCC1CO1)COCC1CO1	28594-inactive-pubchem
CP(=O)(C1=CC[NH2+]CC1)[O-]	5520-inactive-pubchem
CN=C(N)NCCC[C@@H](C(=O)O)N	135242-inactive-pubchem
c1cc(ccc1N=C=S)N=C=S	19958-inactive-pubchem
CN1C(Cc2cc(c(cc12)O)N=NC(=O)N)S(=O)(=O)[O-]	135705561-inactive-pubchem
c1c(c(cc2c1nc(c(n2)[O-])[O-])[N+](=O)[O-])C#N	2821-inactive-pubchem
Cc1c(c(=O)[nH]o1)CC(C(=O)O)N	11957558-inactive-pubchem
c1ccc(cc1)/C(=C\CCCCC(=O)O)/c1cnccc1	5284442-inactive-pubchem
CCCCCC(CCCC(=O)[O-])O	23676659-inactive-pubchem
c1ccc(cc1)CC(C(=O)O)N	994-inactive-pubchem
c1cc(ccc1C[C@@H](C(=O)O)N)O	6057-inactive-pubchem
c1cc(c(cc1C[C@H](C(=O)O)N)O)O	92222-inactive-pubchem
c1c(c(cc(c1O)O)O)CC(C(=O)O)N	107794-inactive-pubchem
C1CCC(CC1)(C(=O)O)N	2724466-inactive-pubchem
CC1=C(C(C(=C(N1)C)[N+](=O)[O-])c1ccccc1C(F)(F)F)C(=O)OC	2303-inactive-pubchem
CCCCC(CC)COS(=O)(=O)[O-]	23662383-inactive-pubchem
C(c1c(sc(c1C#N)N(CC(=O)[O-])CC(=O)[O-])C(=O)[O-])C(=O)[O-]	24871329-inactive-pubchem
c1cc(c(cc1Oc1c(cc(cc1I)C[C@@H](C(=O)O)N)I)I)O	5920-inactive-pubchem
C1CNP(=O)(OC1)N(CCCl)CCCl	22420-inactive-pubchem
c1c(cc(c(c1O)O)O)/C(=C(\C=C(C#N)C#N)/N)/C#N	6604029-inactive-pubchem
CC(=O)NCCCS(=O)(=O)[O-]	155434-inactive-pubchem
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-]	23665772-inactive-pubchem
CC(=O)N[C@H](C(=O)O)C(C)(C)SN=O	157991-inactive-pubchem
CC(C)NP(=O)(NC(C)C)OP(=O)(NC(C)C)NC(C)C	5420-inactive-pubchem
C(C(F)(F)F)OCC(F)(F)F	9528-inactive-pubchem
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OP(=O)(NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-])[O-])O)O)O	11957691-inactive-pubchem
C(CC(=O)O)[C@@H](C(=O)O)NC(=O)N	121396-inactive-pubchem
C([C@@H](C(=O)O)N)n1c(=O)[nH]c(=O)o1	40539-inactive-pubchem
CC(C)(C)c1cc2c(cc1)c(c(cc2)C(C)(C)C)S(=O)(=O)[O-]	23672302-inactive-pubchem
COC(=O)CCC(=O)OC	7820-inactive-pubchem
CCOP(=S)(OCC)Oc1nc(nc(c1)C)C(C)C	3017-inactive-pubchem
C[N+](C)(C)CCCC(=O)OC	25804-inactive-pubchem
CCCCC(CC)COCCCN	21499-inactive-pubchem
Cc1cc(=O)n(c(c1)CC(C)CC(C)(C)C)O	60196297-inactive-pubchem
CC(C)C[C@H](C(=O)O)NC(=O)[C@H]([C@@H](Cc1ccccc1)N)O	60196274-inactive-pubchem
COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-]	4130-inactive-pubchem
CN(C)C(=O)/N=N/C(=O)N(C)C	5353800-inactive-pubchem
C(CO/C=C/[C@@H](C(=O)O)N)N	16211101-inactive-pubchem
c1cc(ccc1CCO)[N+](=O)[O-]	7494-inactive-pubchem
c1ccc(c(c1)CCO)[N+](=O)[O-]	27054-inactive-pubchem
Cc1cc(ccc1)NC(=O)Oc1cccc(c1)NC(=O)OC	24744-inactive-pubchem
c1cc2c(cc1Cl)[nH]c(=O)o2	2733-inactive-pubchem
c1cc(ccc1/C=C(\C#N)/C(=C(C#N)C#N)N)O	5328804-inactive-pubchem
