COc(cc(cc1)Cl)c1Oc(ccc(Cl)c1)c1Cl	nonbinder1-inactive
Cc(cc1nc2S3)ccc1nc2SC3=O	nonbinder2-inactive
Nc(cc1)cc([N+]([O-])=O)c1NCCO	nonbinder3-inactive
C(c(cc1)cc2c1OCO2)N(CC1)CCN1c1ncccn1	nonbinder4-inactive
NS(c(cc(c(CN1C2CCCCC2)c2)C1=O)c2Cl)(=O)=O	nonbinder5-inactive
COC(c(cc1)cc(C(OC)=O)c1C(OC)=O)=O	nonbinder6-inactive
CC(CC(C)(C)C)CC(O)=O	nonbinder7-inactive
CC(CCC1/C=C(\C)/C(O)=O)C2C1=C(C)CC2	nonbinder8-inactive
Clc(c1ccccc11)nnc1Cl	nonbinder9-inactive
CN(C)c1ccc(C=O)cc1	nonbinder10-inactive
CC(C)c1ccc(C(C)C)cc1	nonbinder11-inactive
O=C(c(cc1)ccc1C(Cl)=O)Cl	nonbinder12-inactive
OC(c(cc1)ccc1C(O)=O)=O	nonbinder13-inactive
CN(C)c(cc1)ccc1N(C)C	nonbinder14-inactive
[O-][N+](c(cc1)ccc1[N+]([O-])=O)=O	nonbinder15-inactive
CC(C)(Cc1ccccc1)O	nonbinder16-inactive
OS(NC1CCCCC1)(=O)=O	nonbinder17-inactive
C(N(C1)C2)N3CN2CN1C3	nonbinder18-inactive
CN(CC1)CCN1C(C1CCCCC1)=O	nonbinder19-inactive
CCCCCCCC(OC)OC	nonbinder20-inactive
CCCCCCOC(C(C)CC)=O	nonbinder21-inactive
CCNc1nc(N)nc(Cl)n1	nonbinder22-inactive
Oc(cccc1)c1-c1nnco1	nonbinder23-inactive
CC(C)(c1ccccc1)c(cc1)ccc1Nc1ccc(C(C)(C)c2ccccc2)cc1	nonbinder24-inactive
CCCC(OC(C)(C)Cc1ccccc1)=O	nonbinder25-inactive
c(cc1)ccc1OP(Oc1ccccc1)Oc1ccccc1	nonbinder26-inactive
Clc(cccc1)c1Nc1nc(Cl)nc(Cl)n1	nonbinder27-inactive
CC(C(O)=O)Oc1cccc(Cl)c1	nonbinder28-inactive
CCN(Cc1cccc(S(O)(=O)=O)c1)c1ccccc1	nonbinder29-inactive
Nc(ccc(Cc(cc1)cc(Cl)c1N)c1)c1Cl	nonbinder30-inactive
Oc1cc(Nc2ccccc2)ccc1	nonbinder31-inactive
O=C(Nc(cc1)ccc1Cl)Nc(cc1)cc(Cl)c1Cl	nonbinder32-inactive
CC(C)OC(Nc1cccc(Cl)c1)=O	nonbinder33-inactive
C=CCOc1nc(OCC=C)nc(OCC=C)n1	nonbinder34-inactive
CC(C=O)=Cc1ccccc1	nonbinder35-inactive
COC(Cc1ccccc1)=O	nonbinder36-inactive
CN(C)C(Nc1ccccc1)=O	nonbinder37-inactive
COC(Cc1ccccc1)OC	nonbinder38-inactive
Nc(cc1)ccc1Nc1ccccc1	nonbinder39-inactive
CN(C)c1ccc(Cc(cc2)ccc2N(C)C)cc1	nonbinder40-inactive
CCCCCCCCc(cc1)ccc1Nc1ccc(CCCCCCCC)cc1	nonbinder41-inactive
O=C=Nc1ccc(Cc(cc2)ccc2N=C=O)cc1	nonbinder42-inactive
COc(cc1)ccc1Nc(cc1)ccc1OC	nonbinder43-inactive
Nc(cc1)ccc1Oc(cc1)ccc1N	nonbinder44-inactive
C(CC1)CCC1NC1CCCCC1	nonbinder45-inactive
C(C1OC1)Oc1cccc(OCC2OC2)c1	nonbinder46-inactive
CCOC(Cn1c(-c2nc(-c(cc3)ccc3OC)c(-c(cc3)ccc3OC)s2)ccc1)=O	nonbinder47-inactive
CCNc1nc(SC)nc(NCC)n1	nonbinder48-inactive
CCCCCCCCCCCCS(Cl)(=O)=O	nonbinder49-inactive
N#C/C(/n1cncc1)=C(/SC1)\SC1c(cccc1)c1Cl	nonbinder50-inactive
C=CCN(CC1)CCc2c1nc(N)s2	nonbinder51-inactive
CC(SCC(CC(c1ccc(C)cc1)=O)C(O)=O)=O	nonbinder52-inactive
COc(cc(cc1)C(C=C2)=NNC2=O)c1OC(F)F	nonbinder53-inactive
CC(CC(Nc1ccccc1)=O)=O	nonbinder54-inactive
O=C(Nc1ccccc1)Nc1ccccc1	nonbinder55-inactive
CCNc1cc(C)ccc1	nonbinder56-inactive
O=C=Nc(cc1)cc(Cl)c1Cl	nonbinder57-inactive
OCCOc1cccc(OCCO)c1	nonbinder58-inactive
Cc(cc(cc1)OC)c1N	nonbinder59-inactive
